Country,Region,Survey Type,Survey Name,Year(s),Organization,URL,Access
Ethiopia,East Africa,Nutrition,Ethiopian National Micronutrient Survey (ENMS),2015,EPHI,https://www.exemplars.health/-/media/files/egh/resources/stunting/ethiopia/ethiopian-national-micronutrient-survey-report.pdf,Report public
Ethiopia,East Africa,Nutrition,National Food and Nutrition Strategy Baseline Survey,2021-23,EPHI / MoH,https://reliefweb.int/report/ethiopia/national-food-and-nutrition-strategy-baseline-survey-key-findings-preliminary-report,Report public
Ethiopia,East Africa,Food Security,CFSVA,2014,CSA / WFP,https://reliefweb.int/report/ethiopia/ethiopia-comprehensive-food-security-and-vulnerability-analysis-2014,Report public
Ethiopia,East Africa,Food Security,CFSVA,2019,CSA / WFP,https://reliefweb.int/report/ethiopia/ethiopia-comprehensive-food-security-and-vulnerability-analysis-cfsva-2019,Report public
Ethiopia,East Africa,Food Security,IPC Acute Food Insecurity,Ongoing,IPC partners,https://www.ipcinfo.org/ipcinfo-website/where-what/eastern-africa/en/,Public
Ethiopia,East Africa,Agriculture,Annual Agricultural Sample Survey (AgSS),Annual since 2005,CSA / ESS,https://ess.gov.et/agriculture/,Reports public; microdata by application
Ethiopia,East Africa,FTF ZOI,FTF Ethiopia ZOI Baseline,2013,USAID,https://agrilinks.org/post/feed-future-data-resources,Data via DDL
Ethiopia,East Africa,FTF ZOI,FTF Ethiopia ZOI Endline (Phase 1),2018,USAID,https://www.feedthefuture.gov/resource/feed-the-future-ethiopia-zone-of-influence-end-line-assessment-report-2018/,Report public
Ethiopia,East Africa,FTF ZOI,FTF Ethiopia ZOI Phase 2 Baseline,2019-20,USAID,https://agrilinks.org/post/feed-future-zoi-survey-methods,Data via DDL
Uganda,East Africa,DHS,Uganda DHS,2006,UBOS / ICF,https://dhsprogram.com/publications/publication-fr194-dhs-final-reports.cfm,Registration required
Uganda,East Africa,DHS,Uganda DHS,2011,UBOS / ICF,https://dhsprogram.com/pubs/pdf/fr264/fr264.pdf,Registration required
Uganda,East Africa,DHS,Uganda DHS,2016,UBOS / ICF,https://dhsprogram.com/publications/publication-fr333-dhs-final-reports.cfm,Registration required
Uganda,East Africa,DHS,Uganda DHS,2022,UBOS / ICF,https://dhsprogram.com/,Registration required
Uganda,East Africa,LSMS-ISA,Uganda National Panel Survey (UNPS) Wave 1,2009-10,UBOS / World Bank,https://microdata.worldbank.org/index.php/catalog/1001,Public download
Uganda,East Africa,LSMS-ISA,Uganda National Panel Survey (UNPS) Wave 2,2010-11,UBOS / World Bank,https://microdata.worldbank.org/index.php/catalog/1001,Public download
Uganda,East Africa,LSMS-ISA,Uganda National Panel Survey (UNPS) Wave 3,2011-12,UBOS / World Bank,https://microdata.worldbank.org/index.php/catalog/2059,Public download
Uganda,East Africa,LSMS-ISA,Uganda National Panel Survey (UNPS) Wave 4,2013-14,UBOS / World Bank,https://microdata.worldbank.org/index.php/catalog/2663,Public download
Uganda,East Africa,LSMS-ISA,Uganda National Panel Survey (UNPS) Wave 5,2015-16,UBOS / World Bank,https://microdata.worldbank.org/index.php/catalog/3460,Public download
Uganda,East Africa,LSMS-ISA,Uganda National Panel Survey (UNPS) Wave 7,2018-19,UBOS / World Bank,https://microdata.worldbank.org/index.php/catalog/3795,Public download
Uganda,East Africa,LSMS-ISA,Uganda National Panel Survey (UNPS) Wave 8,2019-20,UBOS / World Bank,https://microdata.worldbank.org/index.php/catalog/3902,Public download
Uganda,East Africa,HIES,Uganda National Household Survey (UNHS),2005-06,UBOS,https://www.ubos.org/,Reports public; microdata by application
Uganda,East Africa,HIES,Uganda National Household Survey (UNHS),2009-10,UBOS,https://www.ubos.org/,Reports public; microdata by application
Uganda,East Africa,HIES,Uganda National Household Survey (UNHS),2012-13,UBOS,https://www.ubos.org/,Reports public; microdata by application
Uganda,East Africa,HIES,Uganda National Household Survey (UNHS),2016-17,UBOS,https://www.ubos.org/,Reports public; microdata by application
Uganda,East Africa,HIES,Uganda National Household Survey (UNHS),2019-20,UBOS,https://www.ubos.org/,Reports public; microdata by application
Uganda,East Africa,HIES,Uganda National Household Survey (UNHS),2023-24,UBOS,https://www.ubos.org/uganda-national-household-survey-report-2023-2024-released/,Report public
Uganda,East Africa,Food Security,CFSVA,2008-09,WFP / UBOS,https://reliefweb.int/report/uganda/uganda-comprehensive-food-security-and-vulnerability-analysis-apr-2009,Report public
Uganda,East Africa,Food Security,CFSVA,2013,WFP / UBOS,https://documents.wfp.org/stellent/groups/public/documents/ena/wfp284395.pdf,Report public
Uganda,East Africa,Food Security,IPC Acute Food Insecurity,Ongoing,IPC partners,https://www.ipcinfo.org/,Public
Uganda,East Africa,Agriculture,Uganda Census of Agriculture (UCA),2008-09,UBOS / Ministry of Agriculture,https://www.ubos.org/,Report public
Uganda,East Africa,Agriculture,Annual Agricultural Survey (AAS),2017-2022,UBOS / FAO,https://www.ubos.org/,Reports public
Uganda,East Africa,FTF ZOI,FTF Uganda ZOI Baseline,2012,USAID,https://catalog.data.gov/dataset/feed-the-future-uganda-population-based-survey,Public download
Uganda,East Africa,FTF ZOI,FTF Uganda ZOI Interim,2015,USAID,https://data.usaid.gov/,Public download
Uganda,East Africa,FTF ZOI,FTF Uganda ZOI Endline/Phase 2 Baseline,2019,USAID,https://data.usaid.gov/,Data via DDL
Rwanda,East Africa,DHS,Rwanda DHS,2005,NISR / ICF,https://dhsprogram.com/pubs/pdf/FR183/FR183.pdf,Registration required
Rwanda,East Africa,DHS,Rwanda Interim DHS,2007-08,NISR / ICF,https://dhsprogram.com/pubs/pdf/fr215/fr215.pdf,Registration required
Rwanda,East Africa,DHS,Rwanda DHS,2010,NISR / ICF,https://dhsprogram.com/,Registration required
Rwanda,East Africa,DHS,Rwanda DHS,2014-15,NISR / ICF,https://dhsprogram.com/publications/publication-fr316-dhs-final-reports.cfm,Registration required
Rwanda,East Africa,DHS,Rwanda DHS,2019-20,NISR / ICF,https://dhsprogram.com/publications/publication-FR370-DHS-Final-Reports.cfm,Registration required
Rwanda,East Africa,HIES,Integrated Household Living Conditions Survey (EICV 2),2005-06,NISR,https://statistics.gov.rw/data-sources/surveys/EICV,Application required
Rwanda,East Africa,HIES,Integrated Household Living Conditions Survey (EICV 3),2010-11,NISR,https://catalog.ihsn.org/index.php/catalog/3142,Application required
Rwanda,East Africa,HIES,Integrated Household Living Conditions Survey (EICV 4),2013-14,NISR,https://catalog.ihsn.org/index.php/catalog/5975,Application required
Rwanda,East Africa,HIES,Integrated Household Living Conditions Survey (EICV 5),2016-17,NISR,https://www.statistics.gov.rw/data-sources/surveys/EICV,Application required
Rwanda,East Africa,HIES,Integrated Household Living Conditions Survey (EICV 6),2019-20,NISR,https://www.statistics.gov.rw/data-sources/surveys/EICV,Application required
Rwanda,East Africa,HIES,Integrated Household Living Conditions Survey (EICV 7),2023-24,NISR,https://www.statistics.gov.rw/data-sources/surveys/EICV,Application required
Rwanda,East Africa,Food Security/Nutrition,CFSVA and Nutrition Survey,2006,NISR / WFP / UNICEF,https://statistics.gov.rw/data-sources/surveys/CFSVA,Report public
Rwanda,East Africa,Food Security/Nutrition,CFSVA and Nutrition Survey,2009,NISR / WFP / UNICEF,https://reliefweb.int/report/rwanda/rwanda-comprehensive-food-security-and-vulnerability-analysis-and-nutrition-survey,Report public
Rwanda,East Africa,Food Security/Nutrition,CFSVA and Nutrition Survey,2012,NISR / WFP / UNICEF,http://catalog.ihsn.org/index.php/catalog/4149,Microdata by application
Rwanda,East Africa,Food Security/Nutrition,CFSVA and Nutrition Survey,2015,NISR / WFP / UNICEF,https://statistics.gov.rw/data-sources/surveys/CFSVA,Report public
Rwanda,East Africa,Food Security/Nutrition,CFSVA,2018,NISR / WFP,https://www.statistics.gov.rw/sites/default/files/documents/2025-01/CFSVA_2018_.pdf,Report public
Rwanda,East Africa,Food Security/Nutrition,CFSVA,2021,NISR / WFP,https://microdata.statistics.gov.rw/index.php/catalog/106/study-description,Microdata by application
Rwanda,East Africa,Food Security/Nutrition,CFSVA,2022,NISR / WFP,https://www.statistics.gov.rw/data-sources/surveys/CFSVA,Report public
Rwanda,East Africa,Food Security/Nutrition,CFSVA,2024,NISR / WFP,http://www.statistics.gov.rw/data-sources/surveys/CFSVA,Report public
Rwanda,East Africa,Agriculture,Seasonal Agricultural Survey (SAS),Annual since 2012,NISR / MINAGRI,https://statistics.gov.rw/data-sources/surveys/Seasonal-Agricultural-Survey,Reports public
Rwanda,East Africa,FTF ZOI,FTF Rwanda ZOI Baseline,2012-13,USAID,https://catalog.data.gov/dataset/feed-the-future-rwanda-baseline-household-survey,Public download
Rwanda,East Africa,FTF ZOI,FTF Rwanda ZOI Interim,2015,USAID,https://data.usaid.gov/Agriculture/Feed-the-Future-Rwanda-Interim-Survey-in-the-Zone-/dp59-4kja,Public download
Rwanda,East Africa,FTF ZOI,FTF Rwanda ZOI Endline (Phase 1),2018-19,USAID,https://www.feedthefuture.gov/,Report public
Tanzania,East Africa,DHS,Tanzania DHS,2004-05,NBS / ICF,https://dhsprogram.com/pubs/pdf/FR173/FR173-TZ04-05.pdf,Registration required
Tanzania,East Africa,DHS,Tanzania HIV/AIDS and Malaria Indicator Survey,2007-08,NBS / ICF,https://dhsprogram.com/,Registration required
Tanzania,East Africa,DHS,Tanzania DHS,2010,NBS / ICF,https://dhsprogram.com/,Registration required
Tanzania,East Africa,DHS,Tanzania DHS-MIS,2015-16,NBS / ICF,https://dhsprogram.com/publications/publication-fr321-dhs-final-reports.cfm,Registration required
Tanzania,East Africa,DHS,Tanzania DHS-MIS,2022,NBS / ICF,https://dhsprogram.com/publications/publication-FR382-DHS-Final-Reports.cfm,Registration required
Tanzania,East Africa,LSMS-ISA,Tanzania National Panel Survey (NPS) Wave 1,2008-09,NBS / World Bank,https://microdata.worldbank.org/index.php/catalog/76,Public download
Tanzania,East Africa,LSMS-ISA,Tanzania National Panel Survey (NPS) Wave 2,2010-11,NBS / World Bank,https://microdata.worldbank.org/index.php/catalog/1050,Public download
Tanzania,East Africa,LSMS-ISA,Tanzania National Panel Survey (NPS) Wave 3,2012-13,NBS / World Bank,https://microdata.worldbank.org/index.php/catalog/lsms,Public download
Tanzania,East Africa,LSMS-ISA,Tanzania National Panel Survey (NPS) Wave 4,2014-15,NBS / World Bank,https://microdata.worldbank.org/index.php/catalog/2862,Public download
Tanzania,East Africa,LSMS-ISA,Tanzania National Panel Survey (NPS) Wave 5,2020-21,NBS / World Bank,https://microdata.worldbank.org/index.php/catalog/5639,Public download
Tanzania,East Africa,HIES,Tanzania Household Budget Survey (HBS),2007,NBS,https://microdata.nbs.go.tz/index.php/catalog/17,Application required
Tanzania,East Africa,HIES,Tanzania Household Budget Survey (HBS),2011-12,NBS,https://microdata.nbs.go.tz/index.php/catalog/18,Application required
Tanzania,East Africa,HIES,Tanzania Household Budget Survey (HBS),2017-18,NBS,https://microdata.nbs.go.tz/index.php/catalog/30,Application required
Tanzania,East Africa,HIES,Tanzania Integrated Household Budget Survey (IHBS),2024-25,NBS,https://www.nbs.go.tz/statistics/topic/household-budget-survey-hbs,In progress
Tanzania,East Africa,Nutrition,Tanzania National Nutrition Survey (TNNS),2014,MoH / UNICEF / NBS,https://ghdx.healthdata.org/record/tanzania-national-nutrition-survey-2014,Report public
Tanzania,East Africa,Nutrition,Tanzania National Nutrition Survey (TNNS) - SMART,2018,MoH / UNICEF / NBS,https://www.unicef.org/tanzania/reports/tanzania-national-nutrition-survey-2018,Report public
Tanzania,East Africa,Food Security,IPC Acute Food Insecurity,Ongoing since 2011,IPC partners,https://www.ipcinfo.org/,Public
Tanzania,East Africa,Agriculture,National Sample Census of Agriculture,2007-08,NBS,https://www.nbs.go.tz/,Report public
Tanzania,East Africa,Agriculture,National Sample Census of Agriculture,2019-20,NBS,https://microdata.nbs.go.tz/index.php/catalog/31,Application required
Tanzania,East Africa,Agriculture,Annual Agricultural Sample Survey (AASS),2022-23,NBS,https://microdata.nbs.go.tz/index.php/catalog/52,Application required
Tanzania,East Africa,FTF ZOI,FTF Tanzania ZOI Baseline,2014-16,USAID,https://www.feedthefuture.gov/,Report public
Tanzania,East Africa,FTF ZOI,FTF Tanzania ZOI Interim,2016,USAID / World Bank,https://microdata.worldbank.org/index.php/catalog/2863/,Public download
Zambia,Southern Africa,DHS,Zambia DHS,2007,CSO / ICF,https://dhsprogram.com/what-we-do/survey/survey-display-270.cfm,Registration required
Zambia,Southern Africa,DHS,Zambia DHS,2013-14,CSO / ICF,https://dhsprogram.com/pubs/pdf/fr304/fr304.pdf,Registration required
Zambia,Southern Africa,DHS,Zambia DHS,2018,ZamStats / ICF,https://dhsprogram.com/what-we-do/survey/survey-display-542.cfm,Registration required
Zambia,Southern Africa,DHS,Zambia DHS,2024,ZamStats / ICF,https://dhsprogram.com/what-we-do/survey/survey-display-610.cfm,Registration required
Zambia,Southern Africa,HIES,Living Conditions Monitoring Survey (LCMS IV),2004,CSO,https://catalog.ihsn.org/index.php/catalog/2593,Application required
Zambia,Southern Africa,HIES,Living Conditions Monitoring Survey (LCMS V),2006,CSO,https://catalog.ihsn.org/index.php/catalog/2258,Application required
Zambia,Southern Africa,HIES,Living Conditions Monitoring Survey (LCMS VI),2010,CSO,https://catalog.ihsn.org/index.php/catalog/2597,Application required
Zambia,Southern Africa,HIES,Living Conditions Monitoring Survey (LCMS),2015,ZamStats,https://www.zamstats.gov.zm/,Report public
Zambia,Southern Africa,HIES,Living Conditions Monitoring Survey (LCMS),2022,ZamStats,https://www.zamstats.gov.zm/wp-content/uploads/2024/07/2022-LCMS-Report-2022.pdf,Report public
Zambia,Southern Africa,Nutrition,Food Consumption & Micronutrient Status Survey,2014,NFNC / TDRC / UNZA,https://nfnc.org.zm/,Report public
Zambia,Southern Africa,Nutrition,Food Consumption & Micronutrient Status Survey,2020,NFNC / Intake,https://www.intake.org/zambia-dietary-data-visualizations,Report public
Zambia,Southern Africa,Nutrition,Food Consumption & Micronutrient Status Survey,2023,NFNC / TDRC / UNZA / NISIR,https://nfnc.org.zm/,Report public
Zambia,Southern Africa,Nutrition,SMART+ Nutrition Survey,2024,NFNC / UNICEF / Action Against Hunger,https://www.unicef.org/zambia/nutrition,Report public
Zambia,Southern Africa,Food Security,IPC Acute Food Insecurity,2018-ongoing,ZVAC / IPC GSU / FAO / WFP,https://www.ipcinfo.org/ipc-country-analysis/en/?country=ZMB,Public
Zambia,Southern Africa,Food Security,FEWS NET Monitoring,Ongoing,FEWS NET / USAID,https://fews.net/southern-africa/zambia,Public
Zambia,Southern Africa,Agriculture,Crop Forecast Survey / Post-Harvest Survey,Annual,ZamStats,https://www.zamstats.gov.zm/agriculture/,Reports public
Zambia,Southern Africa,Agriculture,Rural Agricultural Livelihoods Survey (RALS),2012,CSO / IAPRI / MSU,https://catalog.ihsn.org/index.php/catalog/7201,Application required
Zambia,Southern Africa,Agriculture,Rural Agricultural Livelihoods Survey (RALS),2015,ZamStats / IAPRI / MSU,https://www.zamstats.gov.zm/agriculture/,Application required
Zambia,Southern Africa,FTF ZOI,FTF Zambia ZOI Baseline,2012,USAID,https://data.usaid.gov/Agriculture/Feed-The-Future-Zambia-Baseline-Population-Based-S/4vjz-rqba,Public download
Zambia,Southern Africa,FTF ZOI,FTF Zambia ZOI Interim,2015,USAID,https://www.feedthefuture.gov/resource/feed-the-future-zambia-zone-of-influence-interim-assessment-report/,Public download
Zambia,Southern Africa,FTF ZOI,FTF Zambia ZOI Endline,2018,USAID,https://www.feedthefuture.gov/resource/feed-the-future-zambia-zone-of-influence-survey-endline-assessment/,Public download
Mozambique,Southern Africa,DHS,Mozambique DHS (IDS),2003-04,INE / MISAU / ICF,https://ghdx.healthdata.org/record/mozambique-demographic-and-health-survey-2003-2004,Registration required
Mozambique,Southern Africa,DHS,Mozambique DHS (IDS),2011,INE / MISAU / ICF,https://dhsprogram.com/what-we-do/survey/survey-display-362.cfm,Registration required
Mozambique,Southern Africa,DHS,Mozambique DHS (IDS),2022-23,INE / MISAU / ICF,https://dhsprogram.com/methodology/survey/survey-display-564.cfm,Registration required
Mozambique,Southern Africa,MICS,Mozambique MICS3,2008-09,INE / UNICEF,https://catalog.ihsn.org/index.php/catalog/921,Public download
Mozambique,Southern Africa,HIES,Inquerito sobre Orcamento Familiar (IOF),2008-09,INE,https://ghdx.healthdata.org/record/mozambique-household-budget-survey-2008-2009,Application to INE
Mozambique,Southern Africa,HIES,Inquerito sobre Orcamento Familiar (IOF),2014-15,INE,https://webapps.ilo.org/surveyLib/index.php/catalog/6874,Application to INE
Mozambique,Southern Africa,HIES,Inquerito sobre Orcamento Familiar (IOF),2019-20,INE,https://www.ine.gov.mz/,Application to INE
Mozambique,Southern Africa,HIES,Inquerito sobre Orcamento Familiar (IOF),2022-23,INE,https://www.ine.gov.mz/,Application to INE
Mozambique,Southern Africa,Food Security,CFSVA,2009,WFP / SETSAN,https://catalog.ihsn.org/index.php/catalog/4735,Report public
Mozambique,Southern Africa,Food Security,CFSVA,2010,WFP / SETSAN,https://reliefweb.int/report/mozambique/republic-mozambique-comprehensive-food-security-and-vulnerability-analysis-2010,Report public
Mozambique,Southern Africa,Food Security,IPC (all 3 scales),2013-ongoing,SETSAN / IPC GSU / FAO / WFP,https://www.ipcinfo.org/ipcinfo-website/where-what/southern-africa/mozambique/en/,Public
Mozambique,Southern Africa,Agriculture,TIA/IAI Series (11+ rounds),2005-2020,INE / MINAG / MASA,https://igmozambique.wider.unu.edu/opinion/igm-datasets,Application required
Mozambique,Southern Africa,FTF ZOI,FTF Mozambique ZOI Baseline,2013,USAID,https://data.usaid.gov/Agriculture/Feed-the-Future-Mozambique-Baseline-Population-Sur/8zqa-4rrz,Public download
Mozambique,Southern Africa,FTF ZOI,FTF Mozambique ZOI Interim,2015,USAID,https://catalog.data.gov/dataset/feed-the-future-mozambique-zone-of-influence-interim-assessment-2015,Public download
Malawi,Southern Africa,DHS,Malawi DHS,2004,NSO / ICF,https://www.dhsprogram.com/pubs/pdf/FR175/FR-175-MW04.pdf,Registration required
Malawi,Southern Africa,DHS,Malawi DHS,2010,NSO / ICF,https://dhsprogram.com/pubs/pdf/fr247/fr247.pdf,Registration required
Malawi,Southern Africa,DHS,Malawi DHS,2015-16,NSO / ICF,https://dhsprogram.com/what-we-do/survey/survey-display-483.cfm,Registration required
Malawi,Southern Africa,DHS,Malawi DHS,2024,NSO / ICF,https://www.dhsprogram.com/methodology/survey/survey-display-592.cfm,Registration required
Malawi,Southern Africa,MICS,Malawi MICS3,2006,NSO / UNICEF,https://mics.unicef.org/surveys,Public download
Malawi,Southern Africa,MICS,Malawi MICS6,2019-20,NSO / UNICEF,https://microdata.worldbank.org/index.php/catalog/4286,Public download
Malawi,Southern Africa,LSMS-ISA,Second Integrated Household Survey (IHS2),2004-05,NSO / World Bank,https://microdata.worldbank.org/index.php/catalog/2307,Public download
Malawi,Southern Africa,LSMS-ISA,Third Integrated Household Survey (IHS3),2010-11,NSO / World Bank,https://microdata.worldbank.org/index.php/catalog/1003,Public download
Malawi,Southern Africa,LSMS-ISA,IHPS Panel,2013,NSO / World Bank,https://microdata.worldbank.org/index.php/catalog/2248,Public download
Malawi,Southern Africa,LSMS-ISA,Fourth Integrated Household Survey (IHS4),2016-17,NSO / World Bank,https://microdata.worldbank.org/index.php/catalog/2936,Public download
Malawi,Southern Africa,LSMS-ISA,Fifth Integrated Household Survey (IHS5),2019-20,NSO / World Bank,https://microdata.worldbank.org/index.php/catalog/3818,Public download
Malawi,Southern Africa,Nutrition,Malawi Micronutrient Survey (MNS),2009,NSO / MoH,http://www.nsomalawi.mw/,Report public
Malawi,Southern Africa,Nutrition,Malawi Micronutrient Survey (MNS),2015-16,NSO / DHS Program,https://dhsprogram.com/pubs/pdf/FR319/FR319.m.final.pdf,Registration required
Malawi,Southern Africa,Nutrition,SMART Nutrition Surveys (8 rounds),2015-2024,GoM / UNICEF,https://www.unicef.org/malawi/media/12396/file/SMART%20ROUND%208%20REPORT%202024.pdf.pdf,Reports public
Malawi,Southern Africa,Food Security,IPC Acute Food Insecurity,2009-ongoing,MVAC / IPC GSU / FAO / WFP,https://www.ipcinfo.org/ipcinfo-website/where-what/southern-africa/malawi/en/,Public
Malawi,Southern Africa,Food Security,MVAC Annual Assessment,Annual,MVAC,https://mvac.gov.mw/,Reports public
Malawi,Southern Africa,Agriculture,National Census of Agriculture & Livestock (NACAL),2006-07,NSO / MoAFS,https://catalog.ihsn.org/index.php/catalog/4578,Report public
Malawi,Southern Africa,Agriculture,National Census of Agriculture & Livestock,2020,NSO / MoA,https://openknowledge.fao.org/items/73b12438-a11f-4543-8ef6-27f0b74249c9,Report public
Malawi,Southern Africa,FTF ZOI,FTF Malawi ZOI Baseline,2012,USAID,https://data.usaid.gov/Agriculture/Feed-The-Future-Malawi-Baseline-Household-Survey/6gc3-3fwr,Public download
Malawi,Southern Africa,FTF ZOI,FTF Malawi ZOI Interim,2015,USAID,https://data.usaid.gov/Agriculture/Feed-the-Future-Malawi-Interim-Survey-in-the-Zone-/c5qj-pmev,Public download
Madagascar,Southern Africa,DHS,Madagascar EDSMD-III,2003-04,INSTAT / ICF,https://dhsprogram.com/what-we-do/survey/survey-display-207.cfm,Registration required
Madagascar,Southern Africa,DHS,Madagascar EDSMD-IV,2008-09,INSTAT / ICF,https://dhsprogram.com/what-we-do/survey/survey-display-296.cfm,Registration required
Madagascar,Southern Africa,DHS,Madagascar EDSMD-V,2021,INSTAT / ICF,https://dhsprogram.com/what-we-do/survey/survey-display-560.cfm,Registration required
Madagascar,Southern Africa,MICS,Madagascar MICS6,2018,INSTAT / UNICEF,https://microdata.worldbank.org/index.php/catalog/4163,Public download
Madagascar,Southern Africa,HIES,Enquete Permanente aupres des Menages (EPM),2005,INSTAT,https://www.instat.mg/,Application to INSTAT
Madagascar,Southern Africa,HIES,Enquete Permanente aupres des Menages (EPM),2010,INSTAT,https://www.instat.mg/,Application to INSTAT
Madagascar,Southern Africa,HIES,Enquete Permanente aupres des Menages (EPM),2021-22,INSTAT,https://www.instat.mg/p/epm-enquete-permanente-aupres-des-menages-2021-2022,Application to INSTAT
Madagascar,Southern Africa,Food Security,IPC Acute Food Insecurity,2016-ongoing,IPC GSU / FAO / WFP / FEWS NET,https://www.ipcinfo.org/ipc-country-analysis/en/?country=MDG,Public
Madagascar,Southern Africa,Agriculture,Rural Observatory Surveys (panel),1995-2015,INSTAT / IRD / DIAL,https://www.nature.com/articles/s41597-024-03879-9,Public download (2024 release)
Madagascar,Southern Africa,Agriculture,Recensement de l'Agriculture,2004-05,INSTAT / MAEP / FAO,https://www.fao.org/,Report public
Madagascar,Southern Africa,FTF ZOI,USAID/Madagascar TSIRO Baseline Survey,2023,USAID,https://pdf.usaid.gov/pdf_docs/PA00Z66G.pdf,Report public
